"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/12/2021","1.701,00","1.605,00","1.729,00","1.498,00","54,71K","6,45%"
"01/11/2021","1.598,00","1.686,00","1.719,00","1.590,00","74,35K","-5,67%"
"01/10/2021","1.694,00","1.875,00","1.919,00","1.689,00","133,49K","-9,61%"
"01/09/2021","1.874,00","1.723,00","1.878,00","1.716,00","85,28K","9,02%"
"01/08/2021","1.719,00","1.630,00","1.760,00","1.599,00","90,55K","6,31%"
"01/07/2021","1.617,00","1.603,00","1.665,00","1.521,00","89,57K","0,62%"
"01/06/2021","1.607,00","1.617,00","1.637,00","1.581,00","60,97K","-0,62%"
"01/05/2021","1.617,00","1.578,00","1.724,00","1.541,00","70,71K","2,60%"
"01/04/2021","1.576,00","1.703,00","1.721,00","1.575,00","87,03K","-6,91%"
"01/03/2021","1.693,00","1.913,00","1.979,00","1.684,00","89,93K","-11,45%"
"01/02/2021","1.912,00","1.719,00","1.917,00","1.709,00","89,08K","10,65%"
"01/01/2021","1.728,00","1.745,00","1.783,00","1.661,00","111,32K","-0,52%"
"01/12/2020","1.737,00","1.840,00","1.840,00","1.614,00","68,10K","-5,55%"
"01/11/2020","1.839,00","1.605,00","1.946,00","1.566,00","70,33K","14,58%"
"01/10/2020","1.605,00","1.796,00","1.804,00","1.597,00","113,25K","-10,63%"
"01/09/2020","1.796,00","1.730,00","1.936,00","1.722,00","88,36K","3,88%"
"01/08/2020","1.729,00","1.630,00","1.750,00","1.602,00","84,98K","6,66%"
"01/07/2020","1.621,00","1.617,00","1.638,00","1.448,00","62,52K","-0,12%"
"01/06/2020","1.623,00","1.947,00","1.970,00","1.618,00","102,28K","-17,19%"
"01/05/2020","1.960,00","2.008,00","2.039,00","1.912,00","65,39K","-3,21%"
"01/04/2020","2.025,00","1.752,00","2.034,00","1.738,00","69,89K","15,45%"
"01/03/2020","1.754,00","1.934,00","1.944,00","1.732,00","91,40K","-8,93%"
"01/02/2020","1.926,00","1.952,00","2.044,00","1.911,00","96,75K","-1,48%"
"01/01/2020","1.955,00","1.816,00","2.037,00","1.780,00","190,48K","7,48%"
"01/12/2019","1.819,00","1.997,00","2.027,00","1.743,00","122,83K","-9,00%"
"01/11/2019","1.999,00","1.860,00","2.071,00","1.852,00","98,61K","7,42%"
"01/10/2019","1.861,00","1.921,00","1.992,00","1.854,00","192,89K","-2,92%"
"01/09/2019","1.917,00","1.641,00","1.954,00","1.608,00","132,13K","16,89%"
"01/08/2019","1.640,00","1.825,00","1.854,00","1.616,00","108,86K","-10,14%"
"01/07/2019","1.825,00","1.789,00","1.875,00","1.669,00","80,25K","3,05%"
"01/06/2019","1.771,00","1.792,00","1.862,00","1.732,00","123,67K","-0,78%"
"01/05/2019","1.785,00","1.935,00","1.955,00","1.681,00","102,48K","-7,80%"
"01/04/2019","1.936,00","1.730,00","1.939,00","1.726,00","143,04K","12,04%"
"01/03/2019","1.728,00","1.715,00","1.743,00","1.609,00","126,42K","1,11%"
"01/02/2019","1.709,00","1.575,00","1.785,00","1.572,00","128,05K","8,78%"
"01/01/2019","1.571,00","1.769,00","1.773,00","1.567,00","191,31K","-11,04%"
"01/12/2018","1.766,00","1.580,00","1.769,00","1.471,00","121,99K","12,41%"
"01/11/2018","1.571,00","1.682,00","1.703,00","1.516,00","102,92K","-7,32%"
"01/10/2018","1.695,00","1.503,00","1.718,00","1.455,00","181,80K","13,30%"
"01/09/2018","1.496,00","1.628,00","1.640,00","1.494,00","106,05K","-8,50%"
"01/08/2018","1.635,00","1.592,00","1.670,00","1.514,00","105,81K","2,12%"
"01/07/2018","1.601,00","1.890,00","1.920,00","1.595,00","110,16K","-15,65%"
"01/06/2018","1.898,00","1.770,00","1.905,00","1.609,00","130,35K","7,05%"
"01/05/2018","1.773,00","1.844,00","1.933,00","1.767,00","104,85K","-4,47%"
"01/04/2018","1.856,00","1.778,00","1.856,00","1.671,00","125,91K","5,88%"
"01/03/2018","1.753,00","1.577,00","1.836,00","1.571,00","162,40K","11,37%"
"01/02/2018","1.574,00","1.391,00","1.576,00","1.387,00","186,95K","12,51%"
"01/01/2018","1.399,00","1.375,00","1.427,00","1.322,00","211,85K","1,52%"
"01/12/2017","1.378,00","1.444,00","1.449,00","1.301,00","128,09K","-4,57%"
"01/11/2017","1.444,00","1.556,00","1.654,00","1.429,00","205,46K","-7,02%"
"01/10/2017","1.553,00","1.520,00","1.615,00","1.496,00","237,28K","2,44%"
"01/09/2017","1.516,00","1.497,00","1.529,00","1.414,00","119,91K","0,86%"
"01/08/2017","1.503,00","1.590,00","1.614,00","1.438,00","143,07K","-5,47%"
"01/07/2017","1.590,00","1.540,00","1.606,00","1.417,00","121,09K","3,72%"
"01/06/2017","1.533,00","1.575,00","1.672,00","1.465,00","187,11K","-3,16%"
"01/05/2017","1.583,00","1.391,00","1.615,00","1.351,00","143,63K","12,83%"
"01/04/2017","1.403,00","1.676,00","1.703,00","1.336,00","136,53K","-16,44%"
"01/03/2017","1.679,00","1.531,00","1.759,00","1.519,00","140,04K","9,81%"
"01/02/2017","1.529,00","1.680,00","1.708,00","1.524,00","131,87K","-9,31%"
"01/01/2017","1.686,00","1.736,00","1.848,00","1.683,00","183,57K","-2,66%"
"01/12/2016","1.732,00","1.964,00","1.968,00","1.668,00","119,65K","-11,81%"
"01/11/2016","1.964,00","2.260,00","2.260,00","1.946,00","108,92K","-13,17%"
"01/10/2016","2.262,00","2.239,00","2.328,00","2.202,00","170,23K","1,75%"
"01/09/2016","2.223,00","2.355,00","2.360,00","2.168,00","152,45K","-5,77%"
"01/08/2016","2.359,00","2.301,00","2.514,00","2.289,00","170,28K","2,70%"
"01/07/2016","2.297,00","2.386,00","2.578,00","2.291,00","149,35K","-3,69%"
"01/06/2016","2.385,00","2.239,00","2.412,00","2.211,00","125,72K","6,57%"
"01/05/2016","2.238,00","2.310,00","2.310,00","2.118,00","174,42K","-3,24%"
