Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1961","1961","ha","1600","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1962","1962","ha","1600","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1963","1963","ha","1400","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1964","1964","ha","1400","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1965","1965","ha","1400","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1966","1966","ha","1400","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1967","1967","ha","1400","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1968","1968","ha","2000","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1969","1969","ha","2000","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1970","1970","ha","4000","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1971","1971","ha","2100","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1972","1972","ha","2100","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1973","1973","ha","3000","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1974","1974","ha","2100","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1975","1975","ha","2100","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1976","1976","ha","2100","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1977","1977","ha","2100","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1978","1978","ha","1900","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1979","1979","ha","1900","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1980","1980","ha","1900","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1981","1981","ha","1900","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1982","1982","ha","1900","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1983","1983","ha","1900","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1984","1984","ha","1800","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1985","1985","ha","1800","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1986","1986","ha","1800","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1987","1987","ha","1800","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1988","1988","ha","1800","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1989","1989","ha","1800","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1990","1990","ha","1762","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1991","1991","ha","2471","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1992","1992","ha","2200","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1993","1993","ha","2586","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1994","1994","ha","2602","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1995","1995","ha","2605","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1996","1996","ha","2589","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1997","1997","ha","2320","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1998","1998","ha","1848","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","1999","1999","ha","1500","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2000","2000","ha","2200","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2001","2001","ha","2083","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2002","2002","ha","2100","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2003","2003","ha","2200","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2004","2004","ha","2158","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2005","2005","ha","2266","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2006","2006","ha","2400","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2007","2007","ha","2520","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2008","2008","ha","2578","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2009","2009","ha","2632","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2010","2010","ha","2682","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2011","2011","ha","2730","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2012","2012","ha","2500","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2013","2013","ha","2550","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2014","2014","ha","2726","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2015","2015","ha","2838","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2016","2016","ha","2705","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2017","2017","ha","2756","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2018","2018","ha","2766","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2019","2019","ha","2742","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5312","Superficie récoltée","661","Cacao, fèves","2020","2020","ha","2755","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1961","1961","hg/ha","2500","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1962","1962","hg/ha","2500","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1963","1963","hg/ha","2143","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1964","1964","hg/ha","2143","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1965","1965","hg/ha","2857","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1966","1966","hg/ha","2143","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1967","1967","hg/ha","2857","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1968","1968","hg/ha","2500","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1969","1969","hg/ha","1500","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1970","1970","hg/ha","1113","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1971","1971","hg/ha","2457","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1972","1972","hg/ha","2857","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1973","1973","hg/ha","2333","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1974","1974","hg/ha","2381","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1975","1975","hg/ha","2381","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1976","1976","hg/ha","1429","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1977","1977","hg/ha","1429","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1978","1978","hg/ha","1053","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1979","1979","hg/ha","1053","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1980","1980","hg/ha","1053","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1981","1981","hg/ha","1053","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1982","1982","hg/ha","1053","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1983","1983","hg/ha","1053","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1984","1984","hg/ha","556","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1985","1985","hg/ha","556","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1986","1986","hg/ha","556","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1987","1987","hg/ha","556","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1988","1988","hg/ha","556","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1989","1989","hg/ha","556","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1990","1990","hg/ha","522","I","Valeur imputée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1991","1991","hg/ha","797","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1992","1992","hg/ha","909","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1993","1993","hg/ha","773","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1994","1994","hg/ha","769","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1995","1995","hg/ha","768","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1996","1996","hg/ha","772","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1997","1997","hg/ha","720","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1998","1998","hg/ha","785","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","1999","1999","hg/ha","667","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2000","2000","hg/ha","909","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2001","2001","hg/ha","955","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2002","2002","hg/ha","905","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2003","2003","hg/ha","909","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2004","2004","hg/ha","1029","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2005","2005","hg/ha","1068","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2006","2006","hg/ha","1108","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2007","2007","hg/ha","1179","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2008","2008","hg/ha","1226","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2009","2009","hg/ha","1277","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2010","2010","hg/ha","1320","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2011","2011","hg/ha","1363","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2012","2012","hg/ha","1600","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2013","2013","hg/ha","1608","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2014","2014","hg/ha","1533","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2015","2015","hg/ha","1512","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2016","2016","hg/ha","1619","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2017","2017","hg/ha","1553","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2018","2018","hg/ha","1562","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2019","2019","hg/ha","1579","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5419","Rendement","661","Cacao, fèves","2020","2020","hg/ha","1564","E","Valeur estimée"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1961","1961","tonnes","400","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1962","1962","tonnes","400","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1963","1963","tonnes","300","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1964","1964","tonnes","300","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1965","1965","tonnes","400","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1966","1966","tonnes","300","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1967","1967","tonnes","400","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1968","1968","tonnes","500","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1969","1969","tonnes","300","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1970","1970","tonnes","445","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1971","1971","tonnes","516","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1972","1972","tonnes","600","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1973","1973","tonnes","700","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1974","1974","tonnes","500","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1975","1975","tonnes","500","A","Chiffre officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1976","1976","tonnes","300","T","Chiffre non officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1977","1977","tonnes","300","T","Chiffre non officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1978","1978","tonnes","200","T","Chiffre non officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1979","1979","tonnes","200","T","Chiffre non officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1980","1980","tonnes","200","T","Chiffre non officiel"
"QCL","Cultures et produits animaux","7","Angola","5510","Production","661","Cacao, fèves","1981","1981","tonnes","200","T","Chiffre non officiel"
